,ExpressId,GlobalId,Class,PredefinedType,Name,Level,x_coordinate,y_coordinate,z_coordinate,Type,Material,SPOT_IFC.Inhoud,Qto_SpaceBaseQuantities.GrossVolume,Pset_BuildingSystemCommon.Reference,Pset_AirSideSystemInformation.id,Pset_SpaceCommon.id,Pset_BuildingCommon.NumberOfStoreys,Pset_SpaceCommon.IsExternal,Qto_SpaceBaseQuantities.Height,Pset_BuildingElementProxyCommon.Reference,Pset_SpaceHeaterTypeCommon.Reference,Pset_BuildingStoreyCommon.Reference,Pset_SiteCommon.id,Pset_BuildingStoreyCommon.id,Qto_SpaceBaseQuantities.NetVolume,Pset_SpaceHeaterTypeCommon.id,Pset_AirSideSystemInformation.Name,Pset_BuildingStoreyCommon.AboveGround,Pset_BuildingCommon.id,Pset_BuildingSystemCommon.id,Pset_SpaceCommon.Reference,Pset_BuildingCommon.Reference,SPOT_IFC.Oppervlakte,Pset_BuildingCommon.IsLandmarked,Pset_BuildingElementProxyCommon.id,Qto_SpaceBaseQuantities.id,Pset_BuildingElementProxyCommon.IsExternal,SPOT_IFC.id,Pset_SiteCommon.Reference
4797,983745,2nyX1YPDX1rPAukSskC5vq,IfcSpace,SPACE,meterkast A1-90,,-5913.808671306053,99292.51637243737,47150.0,meterkast A1-90,,,0.8844076800015989,,983843.0,983845.0,,False,2438.4,,meterkast 9457,,,,0.8844076800016457,983846.0,meterkast,,,,meterkast 9457,,0.36270000000065566,,,983856.0,,983848.0,
4798,983868,2nyX1YPDX1rPAukSskC5vy,IfcSpace,SPACE,technische ruimte A1-89,,-5913.808671306053,99292.51637243737,47150.0,technische ruimte A1-89,,,2.0794675199171575,,983966.0,983968.0,,False,2438.4,,technische ruimte 9458,,,,2.0794675199171495,983969.0,technische ruimte,,,,technische ruimte 9458,,0.8527999999660258,,,983979.0,,983971.0,
4799,983991,2nyX1YPDX1rPAukSskC5va,IfcSpace,SPACE,esco A1-89,,-5913.808671306053,99292.51637243737,47150.0,esco A1-89,,,0.7322515200122842,,984069.0,984071.0,,False,2438.4,,esco 9459,,,,0.7322515200122871,984072.0,esco,,,,esco 9459,,0.3003000000050378,,,984082.0,,984074.0,
4800,984094,2nyX1YPDX1rPAukSskC5vi,IfcSpace,SPACE,meterkast A1-89,,-5913.808671306053,99292.51637243737,47150.0,meterkast A1-89,,,0.7798003199716672,,984172.0,984174.0,,False,2438.4,,meterkast 9460,,,,0.7798003199716699,984175.0,meterkast,,,,meterkast 9460,,0.31979999998838055,,,984185.0,,984177.0,
4801,984197,2nyX1YPDX1rPAukSskC5cK,IfcSpace,SPACE,meterkast A1-88,,-5913.808671306053,99292.51637243737,47150.0,meterkast A1-88,,,0.7398105599967459,,984290.0,984292.0,,False,2438.4,,meterkast 9461,,,,0.7398105599967477,984293.0,meterkast,,,,meterkast 9461,,0.30339999999866546,,,984303.0,,984295.0,
4802,984315,2nyX1YPDX1rPAukSskC5kW,IfcSpace,SPACE,meterkast A1-99,,-5913.808671306053,99292.51637243737,50300.0,meterkast A1-99,,,0.7398105599957834,,984408.0,984410.0,,False,2438.4,,meterkast 9462,,,,0.7398105599957836,984411.0,meterkast,,,,meterkast 9462,,0.3033999999982707,,,984421.0,,984413.0,
4803,984433,2nyX1YPDX1rPAukSskC5lU,IfcSpace,SPACE,esco A1-98,,-5913.808671306053,99292.51637243737,50300.0,esco A1-98,,,0.7322515199350671,,984501.0,984503.0,,False,2438.4,,esco 9463,,,,0.7322515199350649,984504.0,esco,,,,esco 9463,,0.3002999999733707,,,984514.0,,984506.0,
4804,984526,2nyX1YPDX1rPAukSskC5l6,IfcSpace,SPACE,meterkast A1-98,,-5913.808671306053,99292.51637243737,50300.0,meterkast A1-98,,,0.7798004295913076,,984604.0,984606.0,,False,2438.4,,meterkast 9464,,,,0.7798004295913016,984607.0,meterkast,,,,meterkast 9464,,0.3198000449439417,,,984617.0,,984609.0,
4805,984629,2nyX1YPDX1rPAukSskC5lE,IfcSpace,SPACE,technische ruimte A1-98,,-5913.808671306053,99292.51637243737,50300.0,technische ruimte A1-98,,,2.079467520418846,,984727.0,984729.0,,False,2438.4,,technische ruimte 9465,,,,2.0794675204188535,984730.0,technische ruimte,,,,technische ruimte 9465,,0.8528000001717707,,,984740.0,,984732.0,
4806,984752,2nyX1YPDX1rPAukSskC5ls,IfcSpace,SPACE,meterkast A1-97,,-5913.808671306053,99292.51637243737,50300.0,meterkast A1-97,,,0.8844076800012213,,984850.0,984852.0,,False,2438.4,,meterkast 9466,,,,0.8844076800012204,984853.0,meterkast,,,,meterkast 9466,,0.36270000000050084,,,984863.0,,984855.0,
